,編號,案類,發生日期,發生時段,發生地點,tokenizer,time_zone
1542,1543,住宅竊盜,1060426,06~08,臺北市北投區立賢里尊賢街239巷1~30號,['臺  北  市北  投區  立賢里  尊賢街  239  巷  1  ~  30  號'],morning
1543,1544,住宅竊盜,1060426,10~12,臺北市士林區舊佳里前街125巷1~30號,['臺  北市  士林  區舊  佳里  前  街  125  巷  1  ~  30  號'],morning
1546,1547,住宅竊盜,1060427,10~12,臺北市士林區富洲里延平北路8段181~210號,['臺  北市  士林  區富洲  里  延平北路  8  段  181  ~  210  號'],morning
1553,1554,住宅竊盜,1060501,10~12,臺北市松山區復興南路1段31~60號,['臺  北市  松山  區  復  興  南路  1  段  31  ~  60  號'],morning
1555,1556,住宅竊盜,1060502,06~08,臺北市內湖區碧山里內湖路3段60巷12弄1~30號,['臺  北市  內  湖區  碧  山里  內  湖路  3  段  60  巷  12  弄  1  ~  30  號'],morning
1556,1557,住宅竊盜,1060502,10~12,臺北市大同區玉泉里忠孝西路2段1~30號,['臺  北市  大同  區  玉泉  里  忠孝西路  2  段  1  ~  30  號'],morning
1569,1570,住宅竊盜,1060508,10~12,臺北市中正區頂東里晉江街124巷1~30號,['臺  北市  中正  區頂  東里  晉江街  124  巷  1  ~  30  號'],morning
1570,1571,住宅竊盜,1060509,10~12,臺北市大安區虎嘯里敦化南路2段151~180號,['臺  北市  大安  區虎嘯里  敦化南路  2  段  151  ~  180  號'],morning
1572,1573,住宅竊盜,1060510,08~10,臺北市信義區景新里吳興街91~120號,['臺  北市  信義區  景新里  吳興街  91  ~  120  號'],morning
1574,1575,住宅竊盜,1060511,10~12,臺北市大同區長安西路301~330號,['臺  北市  大同  區長  安西  路  301  ~  330  號'],morning
1582,1583,住宅竊盜,1060515,06~08,臺北市士林區延平北路8段80巷51弄1~30號,['臺  北市  士林  區  延平北路  8  段  80  巷  51  弄  1  ~  30  號'],morning
1587,1588,住宅竊盜,1060517,06~08,臺北市南港區重陽里重陽路211~240號,['臺  北市  南港  區重陽里  重陽路  211  ~  240  號'],morning
1588,1589,住宅竊盜,1060517,10~12,臺北市中正區螢雪里9鄰汀洲路2段6巷1~30號,['臺  北市  中正  區螢  雪里  9  鄰  汀洲  路  2  段  6  巷  1  ~  30  號'],morning
1590,1591,住宅竊盜,1060518,10~12,臺北市萬華區長沙街2段121~150號,['臺  北市  萬華區  長  沙街  2  段  121  ~  150  號'],morning
1593,1594,住宅竊盜,1060519,08~10,臺北市士林區名山里中山北路6段2巷31~60號,['臺  北市  士林  區  名山  里  中山北路  6  段  2  巷  31  ~  60  號'],morning
1603,1604,住宅竊盜,1060524,08~10,臺北市中山區民生東路3段9巷1~30號,['臺  北市  中山  區  民生  東路  3  段  9  巷  1  ~  30  號'],morning
1604,1605,住宅竊盜,1060525,08~10,臺北市文山區試院里006鄰和興路53巷2弄1~30號,['臺  北市  文山  區試  院里  006  鄰  和  興路  53  巷  2  弄  1  ~  30  號'],morning
1609,1610,住宅竊盜,1060530,10~12,臺北市中山區建國北路2段258巷1~30號,['臺  北市  中山  區建國  北路  2  段  258  巷  1  ~  30  號'],morning
1611,1612,住宅竊盜,1060531,06~08,臺北市萬華區西園路320巷36弄1~30號,['臺  北市  萬華區  西園  路  320  巷  36  弄  1  ~  30  號'],morning
1613,1614,住宅竊盜,1060601,06~08,臺北市南港區玉成街201巷1~30號,['臺  北市  南港  區  玉成  街  201  巷  1  ~  30  號'],morning
1616,1617,住宅竊盜,1060602,08~10,臺北市大同區至聖里大龍街271~300號,['臺  北市  大同  區至  聖里  大龍街  271  ~  300  號'],morning
1619,1620,住宅竊盜,1060603,08~10,臺北市中正區南門里延平南路181~210號,['臺  北市  中正  區南門  里  延平南路  181  ~  210  號'],morning
1621,1622,住宅竊盜,1060606,08~10,臺北市士林區蘭雅里5鄰士東路120巷22弄1~30號,['臺  北市  士林  區蘭雅里  5  鄰士  東路  120  巷  22  弄  1  ~  30  號'],morning
1622,1623,住宅竊盜,1060606,08~10,臺北市士林區天祿里士東路89巷16弄1~30號,['臺  北市  士林  區天祿里士  東路  89  巷  16  弄  1  ~  30  號'],morning
1625,1626,住宅竊盜,1060607,10~12,臺北市南港區南港路3段16巷1弄1~30號,['臺  北市  南港  區  南港路  3  段  16  巷  1  弄  1  ~  30  號'],morning
1629,1630,住宅竊盜,1060610,06~08,臺北市中正區富水里思源街1~30號,['臺  北市  中正  區  富水  里  思源  街  1  ~  30  號'],morning
1633,1634,住宅竊盜,1060615,06~08,臺北市信義區忠孝東路4段553巷16弄1~30號,['臺  北市  信義區  忠孝  東路  4  段  553  巷  16  弄  1  ~  30  號'],morning
1636,1637,住宅竊盜,1060617,06~08,臺北市中山區中山北路2段59巷44弄1~30號,['臺  北市  中山  區  中山北路  2  段  59  巷  44  弄  1  ~  30  號'],morning
1638,1639,住宅竊盜,1060619,06~08,臺北市大安區錦安里潮州街91~120號,['臺  北市  大安  區錦安里  潮州  街  91  ~  120  號'],morning
1639,1640,住宅竊盜,1060619,06~08,臺北市信義區安康里松仁路121~150號,['臺  北市  信義區  安康  里  松仁  路  121  ~  150  號'],morning
1645,1646,住宅竊盜,1060621,08~10,臺北市大同區星明里重慶北路2段97巷31~60號,['臺  北市  大同  區星  明里  重慶  北路  2  段  97  巷  31  ~  60  號'],morning
1646,1647,住宅竊盜,1060621,10~12,臺北市北投區一德里中央北路4段481~510號,['臺  北  市北  投區  一  德里  中央  北路  4  段  481  ~  510  號'],morning
1651,1652,住宅竊盜,1060624,06~08,臺北市北投區福興里自強街5巷137弄1~30號,['臺  北  市北  投區  福興里  自強  街  5  巷  137  弄  1  ~  30  號'],morning
1661,1662,住宅竊盜,1060630,06~08,臺北市松山區南京東路3段303巷7弄1~30號,['臺  北市  松山  區  南京  東路  3  段  303  巷  7  弄  1  ~  30  號'],morning
1662,1663,住宅竊盜,1060630,10~12,臺北市內湖區安康路93巷4弄1~30號,['臺  北市  內  湖區  安康路  93  巷  4  弄  1  ~  30  號'],morning
1671,1672,住宅竊盜,1060707,10~12,臺北市南港區百福里福德街309巷31~60號,['臺  北市  南港  區百福里  福德街  309  巷  31  ~  60  號'],morning
1675,1676,住宅竊盜,1060710,10~12,臺北市北投區中央里中央南路1段196巷1~30號,['臺  北  市北  投區  中央  里  中央  南路  1  段  196  巷  1  ~  30  號'],morning
1678,1679,住宅竊盜,1060712,10~12,臺北市大安區龍坡里溫州街18巷1~30號,['臺  北市  大安  區龍坡  里  溫州  街  18  巷  1  ~  30  號'],morning
1687,1688,住宅竊盜,1060717,08~10,臺北市內湖區環山路1段59巷10弄1~30號,['臺  北市  內  湖區環  山路  1  段  59  巷  10  弄  1  ~  30  號'],morning
1688,1689,住宅竊盜,1060717,08~10,臺北市南港區合成里21鄰忠孝東路6段269巷2弄1~30號,['臺  北市  南港  區  合成  里  21  鄰  忠孝  東路  6  段  269  巷  2  弄  1  ~  30  號'],morning
1689,1690,住宅竊盜,1060717,08~10,臺北市大安區福住里永康街23巷45弄1~30號,['臺  北市  大安  區福住  里  永康  街  23  巷  45  弄  1  ~  30  號'],morning
1690,1691,住宅竊盜,1060717,08~10,臺北市北投區榮華里榮華二路1~30號,['臺  北  市北  投區  榮華里  榮華  二路  1  ~  30  號'],morning
1691,1692,住宅竊盜,1060717,10~12,臺北市內湖區江南街121~150號,['臺  北市  內  湖區  江南  街  121  ~  150  號'],morning
1695,1696,住宅竊盜,1060721,10~12,臺北市士林區前港里3鄰後港街181~210號,['臺  北市  士林  區前  港里  3  鄰後港  街  181  ~  210  號'],morning
1699,1700,住宅竊盜,1060723,08~10,臺北市萬華區大理街160巷19弄1~30號,['臺  北市  萬華區  大理  街  160  巷  19  弄  1  ~  30  號'],morning
1700,1701,住宅竊盜,1060725,10~12,臺北市信義區永春里松山路287巷1~30號,['臺  北市  信義區  永春  里  松山  路  287  巷  1  ~  30  號'],morning
1705,1706,住宅竊盜,1060727,10~12,臺北市士林區菁山里永公路500巷臨70號,['臺  北市  士林  區菁  山里  永  公路  500  巷臨  70  號'],morning
1707,1708,住宅竊盜,1060728,06~08,臺北市中正區光復里開封街1段106巷1~30號,['臺  北市  中正  區光  復  里  開封街  1  段  106  巷  1  ~  30  號'],morning
1711,1712,住宅竊盜,1060802,06~08,臺北市松山區八德路4段601~630號,['臺  北市  松山  區  八德  路  4  段  601  ~  630  號'],morning
1712,1713,住宅竊盜,1060804,06~08,臺北市北投區中心里中和街1~30號,['臺  北  市北  投區  中  心里  中  和  街  1  ~  30  號'],morning
1715,1716,住宅竊盜,1060806,06~08,臺北市內湖區民權東路6段206巷91~120號,['臺  北市  內  湖區民權  東路  6  段  206  巷  91  ~  120  號'],morning
1716,1717,住宅竊盜,1060807,10~12,臺北市大安區民炤里仁愛路3段24巷1~30號,['臺  北市  大安  區民炤里  仁愛路  3  段  24  巷  1  ~  30  號'],morning
1717,1718,住宅竊盜,1060807,10~12,臺北市中正區河堤里金門街1~30號,['臺  北市  中正  區  河堤  里  金門  街  1  ~  30  號'],morning
1725,1726,住宅竊盜,1060811,08~10,臺北市中山區南京東路3段89巷15弄2之1~30號,['臺  北市  中山  區  南京  東路  3  段  89  巷  15  弄  2  之  1  ~  30  號'],morning
1729,1730,住宅竊盜,1060814,06~08,臺北市文山區萬興里017鄰指南路2段45巷24弄1~30號,['臺  北市  文山  區萬興里  017  鄰  指南  路  2  段  45  巷  24  弄  1  ~  30  號'],morning
1737,1738,住宅竊盜,1060818,10~12,臺北市中山區北安路825之1~30號,['臺  北市  中山  區  北安路  825  之  1  ~  30  號'],morning
1749,1750,住宅竊盜,1060827,10~12,臺北市士林區天祿里3鄰士東路91巷26弄1~30號,['臺  北市  士林  區天祿  里  3  鄰士  東路  91  巷  26  弄  1  ~  30  號'],morning
1750,1751,住宅竊盜,1060830,08~10,臺北市大安區住安里復興南路2段1~30號,['臺  北市  大安  區住  安里  復  興  南路  2  段  1  ~  30  號'],morning
1763,1764,住宅竊盜,1060906,08~10,臺北市信義區正和里光復南路421~450號,['臺  北市  信義區  正  和  里  光  復  南路  421  ~  450  號'],morning
1772,1773,住宅竊盜,1060913,10~12,臺北市大安區大安路1段31巷1~30號,['臺  北市  大安  區  大安  路  1  段  31  巷  1  ~  30  號'],morning
1777,1778,住宅竊盜,1060918,10~12,臺北市萬華區莒光路300巷6弄1~30號,['臺  北市  萬華區  莒光  路  300  巷  6  弄  1  ~  30  號'],morning
1788,1789,住宅竊盜,1060928,10~12,臺北市中山區德惠街167巷1~30號,['臺  北市  中山  區  德惠  街  167  巷  1  ~  30  號'],morning
1791,1792,住宅竊盜,1061001,08~10,臺北市中正區忠勤里中華路2段315巷1~30號,['臺  北市  中正  區忠勤  里  中華路  2  段  315  巷  1  ~  30  號'],morning
1793,1794,住宅竊盜,1061002,08~10,臺北市大安區群英里和平東路3段1巷26弄1~30號,['臺  北市  大安  區  群英  里  和平  東路  3  段  1  巷  26  弄  1  ~  30  號'],morning
1797,1798,住宅竊盜,1061004,06~08,臺北市萬華區武成街63巷12弄1~30號,['臺  北市  萬華區  武成  街  63  巷  12  弄  1  ~  30  號'],morning
1798,1799,住宅竊盜,1061004,08~10,臺北市信義區永吉里永吉路443巷11弄1~30號,['臺  北市  信義區  永吉  里  永吉  路  443  巷  11  弄  1  ~  30  號'],morning
1799,1800,住宅竊盜,1061004,10~12,臺北市萬華區大理街61~90號,['臺  北市  萬華區  大理  街  61  ~  90  號'],morning
1800,1801,住宅竊盜,1061004,10~12,臺北市信義區永吉里永吉路459巷7弄1~30號,['臺  北市  信義區  永吉  里  永吉  路  459  巷  7  弄  1  ~  30  號'],morning
1809,1810,住宅竊盜,1061011,06~08,臺北市信義區林口街31~60號,['臺  北市  信義區  林口  街  31  ~  60  號'],morning
1810,1811,住宅竊盜,1061011,06~08,臺北市中正區螢雪里重慶南路3段146巷1~30號,['臺  北市  中正  區螢  雪里  重慶  南路  3  段  146  巷  1  ~  30  號'],morning
1815,1816,住宅竊盜,1061015,06~08,臺北市南港區興華路91~120號,['臺  北市  南港  區興華路  91  ~  120  號'],morning
1818,1819,住宅竊盜,1061017,08~10,臺北市南港區九如里研究院路3段68巷1~30號,['臺  北市  南港  區九如里  研究院  路  3  段  68  巷  1  ~  30  號'],morning
1824,1825,住宅竊盜,1061018,08~10,臺北市內湖區安康路391~420號,['臺  北市  內  湖區  安康路  391  ~  420  號'],morning
1825,1826,住宅竊盜,1061019,08~10,臺北市中山區中山北路3段31~60號,['臺  北市  中山  區  中山北路  3  段  31  ~  60  號'],morning
1829,1830,住宅竊盜,1061023,06~08,臺北市中山區南京東路2段21巷31~60號,['臺  北市  中山  區  南京  東路  2  段  21  巷  31  ~  60  號'],morning
1832,1833,住宅竊盜,1061026,06~08,臺北市信義區松友里信義路6段76巷2弄91~120號,['臺  北市  信義區  松友里  信義路  6  段  76  巷  2  弄  91  ~  120  號'],morning
1839,1840,住宅竊盜,1061104,08~10,臺北市大同區大龍街89巷1~30號,['臺  北市  大同  區大龍  街  89  巷  1  ~  30  號'],morning
1845,1846,住宅竊盜,1061107,08~10,臺北市北投區中央里光明路2巷1~30號,['臺  北  市北  投區  中央  里  光明  路  2  巷  1  ~  30  號'],morning
1846,1847,住宅竊盜,1061107,10~12,臺北市文山區華興里002鄰試院路144巷4弄1~30號,['臺  北市  文山  區華興里  002  鄰試  院路  144  巷  4  弄  1  ~  30  號'],morning
1848,1849,住宅竊盜,1061110,08~10,臺北市大安區信義路3段31~60號,['臺  北市  大安  區信義路  3  段  31  ~  60  號'],morning
1850,1851,住宅竊盜,1061113,10~12,臺北市士林區三玉里忠誠路2段1~30號,['臺  北市  士林  區三玉里  忠誠路  2  段  1  ~  30  號'],morning
1851,1852,住宅竊盜,1061113,10~12,臺北市大同區建功里重慶北路1段83巷4弄31~60號,['臺  北市  大同  區  建功  里  重慶  北路  1  段  83  巷  4  弄  31  ~  60  號'],morning
1852,1853,住宅竊盜,1061115,08~10,臺北市內湖區內湖路1段47巷8弄31~60號,['臺  北市  內  湖區  內  湖路  1  段  47  巷  8  弄  31  ~  60  號'],morning
1858,1859,住宅竊盜,1061117,06~08,臺北市大安區住安里信義路4段61~90號,['臺  北市  大安  區住  安里  信義路  4  段  61  ~  90  號'],morning
1864,1865,住宅竊盜,1061121,10~12,臺北市南港區成福路臨298號,['臺  北市  南港  區  成福  路臨  298  號'],morning
1865,1866,住宅竊盜,1061121,10~12,臺北市南港區中南里中南街42巷31~60號,['臺  北市  南港  區  中南  里  中  南街  42  巷  31  ~  60  號'],morning
1869,1870,住宅竊盜,1061125,10~12,臺北市北投區石牌里致遠一路1段61~90號,['臺  北  市北  投區  石牌  里  致遠  一路  1  段  61  ~  90  號'],morning
1872,1873,住宅竊盜,1061127,10~12,臺北市中山區新生北路2段41巷31~60號,['臺  北市  中山  區  新生北路  2  段  41  巷  31  ~  60  號'],morning
1879,1880,住宅竊盜,1061201,06~08,臺北市內湖區康寧路1段47巷1~30號,['臺  北市  內  湖區  康寧路  1  段  47  巷  1  ~  30  號'],morning
1880,1881,住宅竊盜,1061201,08~10,臺北市中正區新營里寧波東街9段1~30號,['臺  北市  中正  區新  營里  寧波  東街  9  段  1  ~  30  號'],morning
1884,1885,住宅竊盜,1061207,08~10,臺北市士林區社子里社正路1~30號,['臺  北市  士林  區  社子  里社  正路  1  ~  30  號'],morning
1886,1887,住宅竊盜,1061212,08~10,臺北市北投區榮光里致遠一路2段31~60號,['臺  北  市北  投區  榮光里  致遠  一路  2  段  31  ~  60  號'],morning
1887,1888,住宅竊盜,1061213,10~12,臺北市文山區興泰里辛亥路4段222巷19弄1~30號,['臺  北市  文山  區興泰里  辛亥  路  4  段  222  巷  19  弄  1  ~  30  號'],morning
1889,1890,住宅竊盜,1061214,10~12,臺北市大同區華亭街31~60號,['臺  北市  大同  區華亭  街  31  ~  60  號'],morning
1897,1898,住宅竊盜,1061221,10~12,臺北市內湖區新明路380巷6弄1~30號,['臺  北市  內  湖區  新明路  380  巷  6  弄  1  ~  30  號'],morning
1902,1903,住宅竊盜,1061228,08~10,臺北市大安區群賢里四維路208巷1~30號,['臺  北市  大安  區群賢里  四維路  208  巷  1  ~  30  號'],morning
1908,1909,住宅竊盜,1061231,06~08,臺北市文山區順興里013鄰木新路3段1~30號,['臺  北市  文山  區順  興里  013  鄰木  新路  3  段  1  ~  30  號'],morning
1909,1910,住宅竊盜,1061231,10~12,臺北市中山區南京東路2段1~30號,['臺  北市  中山  區  南京  東路  2  段  1  ~  30  號'],morning
1912,1913,住宅竊盜,1070102,08~10,臺北市中山區中山北路2段77巷1~30號,['臺  北市  中山  區  中山北路  2  段  77  巷  1  ~  30  號'],morning
1913,1914,住宅竊盜,1070103,06~08,臺北市中正區林興里水源路25巷1~30號,['臺  北市  中正  區林興里  水源路  25  巷  1  ~  30  號'],morning
1914,1915,住宅竊盜,1070103,08~10,臺北市中正區新生南路1段1~30號,['臺  北市  中正  區  新生南路  1  段  1  ~  30  號'],morning
1915,1916,住宅竊盜,1070103,08~10,臺北市萬華區東園街85巷2弄1~30號,['臺  北市  萬華區  東園  街  85  巷  2  弄  1  ~  30  號'],morning
1924,1925,住宅竊盜,1070111,10~12,臺北市士林區葫東里延平北路5段224巷31~60號,['臺  北市  士林  區葫東里  延平北路  5  段  224  巷  31  ~  60  號'],morning
1926,1927,住宅竊盜,1070115,08~10,臺北市中山區新生北路2段41巷31~60號,['臺  北市  中山  區  新生北路  2  段  41  巷  31  ~  60  號'],morning
1936,1937,住宅竊盜,1070122,08~10,臺北市內湖區西康里21鄰內湖路1段217巷1~30號,['臺  北市  內  湖區  西康  里  21  鄰內  湖路  1  段  217  巷  1  ~  30  號'],morning
1937,1938,住宅竊盜,1070123,10~12,臺北市內湖區成功路4段331~360號,['臺  北市  內  湖區  成功  路  4  段  331  ~  360  號'],morning
1943,1944,住宅竊盜,1070201,08~10,臺北市文山區忠順里016鄰忠順街2段61~90號,['臺  北市  文山  區忠  順里  016  鄰忠  順街  2  段  61  ~  90  號'],morning
1947,1948,住宅竊盜,1070205,08~10,臺北市中正區螢雪里詔安街31~60號,['臺  北市  中正  區螢  雪里  詔安街  31  ~  60  號'],morning
1948,1949,住宅竊盜,1070206,08~10,臺北市北投區林泉里新民路31~60號,['臺  北  市北  投區  林泉里  新民路  31  ~  60  號'],morning
1950,1951,住宅竊盜,1070208,06~08,臺北市萬華區西寧南路241~270號,['臺  北市  萬華區  西寧  南路  241  ~  270  號'],morning
1951,1952,住宅竊盜,1070209,10~12,臺北市萬華區大理街160巷23弄31~60號,['臺  北市  萬華區  大理  街  160  巷  23  弄  31  ~  60  號'],morning
1952,1953,住宅竊盜,1070209,10~12,臺北市大安區誠安里忠孝東路3段251巷12弄1~30號,['臺  北市  大安  區誠安里  忠孝  東路  3  段  251  巷  12  弄  1  ~  30  號'],morning
1955,1956,住宅竊盜,1070211,06~08,臺北市北投區泉源里登山路121~150號,['臺  北  市北  投區  泉源  里  登山  路  121  ~  150  號'],morning
1956,1957,住宅竊盜,1070211,06~08,臺北市中正區忠勤里中華路2段313巷31~60號,['臺  北市  中正  區忠勤  里  中華路  2  段  313  巷  31  ~  60  號'],morning
1958,1959,住宅竊盜,1070213,08~10,臺北市中山區中山北路2段65巷1~30號,['臺  北市  中山  區  中山北路  2  段  65  巷  1  ~  30  號'],morning
1964,1965,住宅竊盜,1070217,06~08,臺北市大安區建安里敦化南路1段151~180號,['臺  北市  大安  區  建安  里  敦化南路  1  段  151  ~  180  號'],morning
1967,1968,住宅竊盜,1070218,10~12,臺北市南港區忠孝東路6段91~120號,['臺  北市  南港  區  忠孝  東路  6  段  91  ~  120  號'],morning
1975,1976,住宅竊盜,1070301,08~10,臺北市中正區汀州路140巷31~60號,['臺  北市  中正  區  汀州  路  140  巷  31  ~  60  號'],morning
1976,1977,住宅竊盜,1070301,10~12,臺北市松山區光復南路13巷1~30號,['臺  北市  松山  區光  復  南路  13  巷  1  ~  30  號'],morning
1981,1982,住宅竊盜,1070304,06~08,臺北市南港區重陽路166巷1~30號,['臺  北市  南港  區重陽路  166  巷  1  ~  30  號'],morning
1983,1984,住宅竊盜,1070305,10~12,臺北市士林區福中里福港街91~120號,['臺  北市  士林  區福  中里  福港  街  91  ~  120  號'],morning
1990,1991,住宅竊盜,1070312,10~12,臺北市信義區吳興街600巷76弄91~120號,['臺  北市  信義區  吳興街  600  巷  76  弄  91  ~  120  號'],morning
1991,1992,住宅竊盜,1070312,10~12,臺北市大安區大學里新生南路3段70巷2弄1~30號,['臺  北市  大安  區大學里  新生南路  3  段  70  巷  2  弄  1  ~  30  號'],morning
1994,1995,住宅竊盜,1070313,08~10,臺北市大安區學府里基隆路3段155巷91~120號,['臺  北市  大安  區學府  里  基隆  路  3  段  155  巷  91  ~  120  號'],morning
1995,1996,住宅竊盜,1070313,08~10,臺北市文山區木新里031鄰木新路2段121~150號,['臺  北市  文山  區木新里  031  鄰木  新路  2  段  121  ~  150  號'],morning
1999,2000,住宅竊盜,1070315,08~10,臺北市信義區基隆路2段1~30號,['臺  北市  信義區  基隆  路  2  段  1  ~  30  號'],morning
2000,2001,住宅竊盜,1070315,10~12,臺北市萬華區艋舺大道86巷7弄1~30號,['臺  北市  萬華區  艋  舺  大道  86  巷  7  弄  1  ~  30  號'],morning
2006,2007,住宅竊盜,1070319,08~10,臺北市萬華區長泰街139巷,['臺  北市  萬華區  長  泰街  139  巷'],morning
2012,2013,住宅竊盜,1070325,08~10,臺北市大安區法治里樂利路111巷1~30號,['臺  北市  大安  區  法治  里樂利路  111  巷  1  ~  30  號'],morning
2018,2019,住宅竊盜,1070403,10~12,臺北市南港區研究院路3段161巷1~30號,['臺  北市  南港  區  研究院  路  3  段  161  巷  1  ~  30  號'],morning
2019,2020,住宅竊盜,1070405,10~12,臺北市文山區萬美里009鄰萬安街21巷1~30號,['臺  北市  文山  區萬美里  009  鄰萬安街  21  巷  1  ~  30  號'],morning
2020,2021,住宅竊盜,1070405,10~12,臺北市萬華區東園街66巷7弄1~30號,['臺  北市  萬華區  東園  街  66  巷  7  弄  1  ~  30  號'],morning
2021,2022,住宅竊盜,1070406,08~10,臺北市北投區永和里行義路186巷26弄1~30號,['臺  北  市北  投區  永和  里  行義路  186  巷  26  弄  1  ~  30  號'],morning
2022,2023,住宅竊盜,1070409,10~12,臺北市中山區新生北路2段133巷1~30號,['臺  北市  中山  區  新生北路  2  段  133  巷  1  ~  30  號'],morning
2023,2024,住宅竊盜,1070409,10~12,臺北市士林區後港里24鄰通河東街2段1~30號,['臺  北市  士林  區後港  里  24  鄰  通河  東街  2  段  1  ~  30  號'],morning
2028,2029,住宅竊盜,1070416,08~10,臺北市南港區九如里研究院路3段161巷臨22號,['臺  北市  南港  區九如里  研究院  路  3  段  161  巷臨  22  號'],morning
2034,2035,住宅竊盜,1070420,10~12,臺北市文山區明義里005鄰木柵路2段168巷1~30號,['臺  北市  文山  區明義里  005  鄰木柵路  2  段  168  巷  1  ~  30  號'],morning
2036,2037,住宅竊盜,1070423,10~12,臺北市中山區農安街241~270號,['臺  北市  中山  區農安街  241  ~  270  號'],morning
2037,2038,住宅竊盜,1070423,10~12,臺北市大同區太原路11巷1~30號,['臺  北市  大同  區  太原路  11  巷  1  ~  30  號'],morning
2038,2039,住宅竊盜,1070424,10~12,臺北市文山區萬年里公館街61巷1~30號,['臺  北市  文山  區萬年  里  公館  街  61  巷  1  ~  30  號'],morning
2044,2045,住宅竊盜,1070426,10~12,臺北市中正區梅花里忠孝東路2段39巷2弄1~30號,['臺  北市  中正  區  梅花  里  忠孝  東路  2  段  39  巷  2  弄  1  ~  30  號'],morning
2046,2047,住宅竊盜,1070428,08~10,臺北市信義區六合里信義路5段150巷400弄1~30號,['臺  北市  信義區  六合  里  信義路  5  段  150  巷  400  弄  1  ~  30  號'],morning
2047,2048,住宅竊盜,1070430,10~12,臺北市南港區研究院路2段70巷31~60號,['臺  北市  南港  區  研究院  路  2  段  70  巷  31  ~  60  號'],morning
2049,2050,住宅竊盜,1070501,08~10,臺北市南港區舊莊里舊莊街1段31~60號,['臺  北市  南港  區舊  莊里  舊  莊街  1  段  31  ~  60  號'],morning
2051,2052,住宅竊盜,1070503,10~12,臺北市南港區南港里東南街1~30號,['臺  北市  南港  區  南港  里東  南街  1  ~  30  號'],morning
2055,2056,住宅竊盜,1070507,10~12,臺北市萬華區中華路1段181~210號,['臺  北市  萬華區  中華路  1  段  181  ~  210  號'],morning
2059,2060,住宅竊盜,1070509,10~12,臺北市北投區一德里學園路1~30號,['臺  北  市北  投區  一  德里  學園  路  1  ~  30  號'],morning
2066,2067,住宅竊盜,1070513,10~12,臺北市士林區富洲里延平北路8段151~180號,['臺  北市  士林  區富洲  里  延平北路  8  段  151  ~  180  號'],morning
2078,2079,住宅竊盜,1070525,10~12,臺北市中正區三愛里仁愛路2段98巷1~30號,['臺  北市  中正  區三愛里  仁愛路  2  段  98  巷  1  ~  30  號'],morning
2081,2082,住宅竊盜,1070527,08~10,臺北市大安區敦煌里安和路1段127巷29弄1~30號,['臺  北市  大安  區  敦煌  里  安和路  1  段  127  巷  29  弄  1  ~  30  號'],morning
2083,2084,住宅竊盜,1070528,10~12,臺北市中山區新生北路3段61~90號,['臺  北市  中山  區  新生北路  3  段  61  ~  90  號'],morning
2084,2085,住宅竊盜,1070529,08~10,臺北市信義區三犁里信義路5段150巷1~30號,['臺  北市  信義區  三犁里  信義路  5  段  150  巷  1  ~  30  號'],morning
2086,2087,住宅竊盜,1070603,06~08,臺北市北投區吉利里致遠二路95巷31~60號,['臺  北  市北  投區  吉利  里  致遠  二路  95  巷  31  ~  60  號'],morning
2089,2090,住宅竊盜,1070606,10~12,臺北市北投區關渡里知行路3巷1~30號,['臺  北  市北  投區  關渡  里  知  行路  3  巷  1  ~  30  號'],morning
2098,2099,住宅竊盜,1070614,10~12,臺北市北投區福興里致遠一路2段71巷1~30號,['臺  北  市北  投區  福興里  致遠  一路  2  段  71  巷  1  ~  30  號'],morning
2104,2105,住宅竊盜,1070619,10~12,臺北市士林區承德里承德路4段58巷31~60號,['臺  北市  士林  區  承德  里  承德路  4  段  58  巷  31  ~  60  號'],morning
2108,2109,住宅竊盜,1070622,06~08,臺北市中正區幸市里新生南路1段60巷1~30號,['臺  北市  中正  區幸  市里  新生南路  1  段  60  巷  1  ~  30  號'],morning
2115,2116,住宅竊盜,1070626,10~12,臺北市士林區福順里12鄰延平北路5段136巷8弄1~30號,['臺  北市  士林  區福  順里  12  鄰  延平北路  5  段  136  巷  8  弄  1  ~  30  號'],morning
2116,2117,住宅竊盜,1070626,10~12,臺北市信義區忠孝東路5段1~30號,['臺  北市  信義區  忠孝  東路  5  段  1  ~  30  號'],morning
2118,2119,住宅竊盜,1070627,08~10,臺北市大安區龍坡里2鄰溫州街11巷1~30號,['臺  北市  大安  區龍坡  里  2  鄰溫州  街  11  巷  1  ~  30  號'],morning
2121,2122,住宅竊盜,1070628,06~08,臺北市大安區錦華里杭州南路2段93巷1~30號,['臺  北市  大安  區錦華里  杭州  南路  2  段  93  巷  1  ~  30  號'],morning
2125,2126,住宅竊盜,1070630,08~10,臺北市松山區南京東路4段133巷7弄31~60號,['臺  北市  松山  區  南京  東路  4  段  133  巷  7  弄  31  ~  60  號'],morning
2128,2129,住宅竊盜,1070701,10~12,臺北市萬華區和平西路3段301~330號,['臺  北市  萬華區  和平西路  3  段  301  ~  330  號'],morning
2131,2132,住宅竊盜,1070703,06~08,臺北市大安區臨江里通化街39巷50弄31~60號,['臺  北市  大安  區臨  江里  通化街  39  巷  50  弄  31  ~  60  號'],morning
