,編號,案類,發生日期,發生時段,發生地點,tokenizer,time_zone
1030,1031,住宅竊盜,1050709,10~12,臺北市大同區朝陽里天水路31~60號,['臺  北市  大同  區朝陽里  天  水路  31  ~  60  號'],morning
1031,1032,住宅竊盜,1050710,10~12,臺北市松山區敦化北路222巷1~30號,['臺  北市  松山  區  敦化北路  222  巷  1  ~  30  號'],morning
1032,1033,住宅竊盜,1050710,10~12,臺北市松山區健康路391~420號,['臺  北市  松山  區  健康  路  391  ~  420  號'],morning
1042,1043,住宅竊盜,1050717,10~12,臺北市中山區中山北路3段55巷1~30號,['臺  北市  中山  區  中山北路  3  段  55  巷  1  ~  30  號'],morning
1049,1050,住宅竊盜,1050722,08~10,臺北市內湖區(潭美街211~240號,['臺  北市  內  湖區  (  潭  美街  211  ~  240  號'],morning
1058,1059,住宅竊盜,1050728,08~10,臺北市南港區成福里成福路121巷1~30號,['臺  北市  南港  區  成福  里  成福  路  121  巷  1  ~  30  號'],morning
1065,1066,住宅竊盜,1050801,10~12,臺北市北投區公館路209巷38弄1~30號,['臺  北  市北  投區  公館  路  209  巷  38  弄  1  ~  30  號'],morning
1068,1069,住宅竊盜,1050802,06~08,臺北市士林區天玉里5鄰天母北路1~30號,['臺  北市  士林  區天玉里  5  鄰  天母  北路  1  ~  30  號'],morning
1069,1070,住宅竊盜,1050802,06~08,臺北市中山區撫順街1~30號,['臺  北市  中山  區撫  順街  1  ~  30  號'],morning
1070,1071,住宅竊盜,1050805,06~08,臺北市信義區三犁里松勤街140巷1~30號,['臺  北市  信義區  三犁里  松勤  街  140  巷  1  ~  30  號'],morning
1077,1078,住宅竊盜,1050809,06~08,臺北市信義區景聯里基隆路2段79巷1~30號,['臺  北市  信義區  景聯里  基隆  路  2  段  79  巷  1  ~  30  號'],morning
1089,1090,住宅竊盜,1050815,10~12,臺北市中山區合江街91~120號,['臺  北市  中山  區  合江  街  91  ~  120  號'],morning
1096,1097,住宅竊盜,1050819,06~08,臺北市內湖區東湖里康樂街48巷1~30號,['臺  北市  內  湖區  東  湖里  康樂街  48  巷  1  ~  30  號'],morning
1103,1104,住宅竊盜,1050823,08~10,臺北市南港區中研里研究院路2段70巷17弄1~30號,['臺  北市  南港  區中  研里  研究院  路  2  段  70  巷  17  弄  1  ~  30  號'],morning
1105,1106,住宅竊盜,1050824,06~08,臺北市士林區翠山里中社路1段11巷91~120號,['臺  北市  士林  區翠  山里  中  社路  1  段  11  巷  91  ~  120  號'],morning
1108,1109,住宅竊盜,1050826,06~08,臺北市內湖區明湖里4鄰康寧路3段165巷23弄1~30號,['臺  北市  內  湖區明  湖里  4  鄰康寧路  3  段  165  巷  23  弄  1  ~  30  號'],morning
1113,1114,住宅竊盜,1050828,08~10,臺北市信義區正和里仁愛路4段511~540號,['臺  北市  信義區  正  和  里  仁愛路  4  段  511  ~  540  號'],morning
1124,1125,住宅竊盜,1050901,06~08,臺北市南港區九如里研究院路3段68巷1~30號,['臺  北市  南港  區九如里  研究院  路  3  段  68  巷  1  ~  30  號'],morning
1125,1126,住宅竊盜,1050901,08~10,臺北市大安區民輝里新生南路1段103巷1~30號,['臺  北市  大安  區民輝  里  新生南路  1  段  103  巷  1  ~  30  號'],morning
1127,1128,住宅竊盜,1050902,08~10,臺北市南港區百福里福德街339巷1弄1~30號,['臺  北市  南港  區百福里  福德街  339  巷  1  弄  1  ~  30  號'],morning
1128,1129,住宅竊盜,1050902,08~10,臺北市文山區木柵里018鄰秀明路1段61~90號,['臺  北市  文山  區木柵里  018  鄰秀  明路  1  段  61  ~  90  號'],morning
1132,1133,住宅竊盜,1050904,10~12,臺北市內湖區五分里23鄰康寧路3段265巷31~60號,['臺  北市  內  湖區  五分  里  23  鄰康寧路  3  段  265  巷  31  ~  60  號'],morning
1135,1136,住宅竊盜,1050908,10~12,臺北市北投區致遠二路5巷1~30號,['臺  北  市北  投區  致遠  二路  5  巷  1  ~  30  號'],morning
1140,1141,住宅竊盜,1050914,08~10,臺北市文山區景美里萬慶街31~60號,['臺  北市  文山  區  景美  里  萬慶街  31  ~  60  號'],morning
1147,1148,住宅竊盜,1050918,10~12,臺北市信義區大道里大道路61~90號,['臺  北市  信義區  大道  里  大  道路  61  ~  90  號'],morning
1150,1151,住宅竊盜,1050919,08~10,臺北市信義區長春里虎林街104巷140弄1~30號,['臺  北市  信義區  長  春里  虎林  街  104  巷  140  弄  1  ~  30  號'],morning
1163,1164,住宅竊盜,1050923,10~12,臺北市大安區誠安里安東街1~30號,['臺  北市  大安  區誠安  里安  東街  1  ~  30  號'],morning
1164,1165,住宅竊盜,1050924,08~10,臺北市信義區信義路1段151~180號,['臺  北市  信義區  信義路  1  段  151  ~  180  號'],morning
1166,1167,住宅竊盜,1050925,10~12,臺北市松山區光復南路58巷1~30號,['臺  北市  松山  區光  復  南路  58  巷  1  ~  30  號'],morning
1169,1170,住宅竊盜,1050928,10~12,臺北市大安區通安里信義路4段241~270號,['臺  北市  大安  區通安里  信義路  4  段  241  ~  270  號'],morning
1171,1172,住宅竊盜,1050929,10~12,臺北市北投區建民里文林北路94巷5弄1~30號,['臺  北  市北  投區  建民里  文林  北路  94  巷  5  弄  1  ~  30  號'],morning
